,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
60,0046_0038,47.06975217142857,85.5660025,114.71428571428571,,391122.28300679894,5213913.160276274,46,38,167,2013-01-01,RGI60-10.00604,3285.567,3285.7156,0.12593935,3.4665952,0.23094778,204.0,2701572.0,306505820.0,340240200.0,110.71392,104.71522,27.512365,,-1.5549657,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
61,0047_0029,47.07246215,85.5665808,73.25,,391171.70796693244,5214213.502817957,47,29,167,2013-01-01,RGI60-10.00604,3239.3987,3240.0208,0.17877479,2.8094172,0.37869853,170.0,2831044.0,210152380.0,233484820.0,91.63476,97.8571,16.410763,,-1.6797297,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
62,0047_0030,47.07222944,85.56645104,71.5,,391161.3825896921,5214187.823358125,47,30,167,2013-01-01,RGI60-10.00604,3245.8513,3245.8154,0.17918663,2.805541,0.34540263,183.0956,2819484.0,219541490.0,243903550.0,94.61818,95.11811,14.576561,,-1.7614955,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
63,0047_0031,47.0719125,85.5662766111111,70.77777777777777,,391147.4942644124,5214152.845978574,47,31,167,2013-01-01,RGI60-10.00604,3251.8381,3251.61,0.17469741,2.848578,0.31535637,183.0956,2806768.0,229653460.0,255121330.0,96.03418,91.175446,12.292485,,-1.7403506,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
64,0047_0032,47.07171875,85.56619055,72.0,,391140.5657607302,5214131.435194383,47,32,167,2013-01-01,RGI60-10.00604,3258.1172,3257.2253,0.16577937,2.939556,0.2873605,173.36667,2794052.0,239551700.0,266098430.0,96.586945,88.438965,10.967858,,-1.7192057,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
65,0047_0038,47.0697778,85.5664342,122.28571428571429,,391155.1119671022,5213915.407586143,47,38,167,2013-01-01,RGI60-10.00604,3283.709,3284.852,0.12646759,3.4579003,0.1628879,170.0,2707352.0,302543460.0,335858750.0,105.69604,92.62172,16.398832,,-1.4571259,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
66,0048_0027,47.073157888888886,85.56694584444443,75.44444444444444,,391200.8387390645,5214290.309298558,48,27,167,2013-01-01,RGI60-10.00604,3226.107,3226.6326,0.16897324,2.9060912,0.4428557,152.05263,2862256.0,183876050.0,204321600.0,85.47362,100.92309,19.795729,,-1.4808462,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
67,0048_0028,47.072835,85.56677723749999,75.0,,391187.3807507899,5214254.662659111,48,28,167,2013-01-01,RGI60-10.00604,3231.768,3232.0474,0.17718364,2.8245275,0.4141119,170.0,2848384.0,195718610.0,217465620.0,88.01701,100.04874,18.4172,,-1.6181864,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
68,0048_0029,47.072607000000005,85.5666582,74.75,,391177.8791651333,5214229.491656019,48,29,167,2013-01-01,RGI60-10.00604,3237.532,3237.7795,0.18338539,2.7668216,0.3869481,192.33304,2836824.0,205385740.0,228194720.0,90.30325,98.69669,17.192387,,-1.7555264,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
69,0048_0038,47.06980022857143,85.56689062857143,119.57142857142857,,391189.8118955481,5213917.265085546,48,38,167,2013-01-01,RGI60-10.00604,3283.0854,3284.3135,0.12987275,3.4032133,0.062468544,136.0,2708508.0,301748350.0,334979500.0,100.02728,83.57712,11.717521,,-1.3592862,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
