,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,itslive_v,hugonnet_dhdt,millan_v,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
31,0017_0042,49.7499037,-117.148213,27.0,3.0,489323.00973274506,5510834.995475103,17,42,258,2017-04-16,RGI60-02.00147,2669.1062,2672.441,0.106798224,3.8270276,0.943504,41.01219,468437.0,176869970.0,238175470.0,43.31541,,0.95305824,-0.9655686,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
32,0017_0048,49.748172350000004,-117.148166,36.5,4.0,489326.0156089836,5510642.497864725,17,48,258,2017-04-16,RGI60-02.00147,2694.8223,2695.0322,0.16887484,2.907107,0.26782408,116.0,310329.0,128512530.0,171202240.0,46.159134,,1.1447833,-0.61263984,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
33,0017_0049,49.74796834,-117.1480542,40.6,4.0,489334.0250311151,5510619.800214899,17,49,258,2017-04-16,RGI60-02.00147,2699.5713,2699.7024,0.1597519,3.0056083,0.31757858,116.0,274166.0,115929760.0,154025620.0,45.53856,,1.0262843,-0.60136,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
34,0017_0050,49.7477905,-117.14786366666665,44.333333333333336,5.0,489347.7122933055,5510600.000971935,17,50,258,2017-04-16,RGI60-02.00147,2703.1755,2703.9102,0.14207473,3.2247043,0.37046772,104.56099,251459.0,107727240.0,142882000.0,43.705223,,0.88069475,-0.5930281,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
35,0018_0035,49.75161791666667,-117.14763233333333,32.5,3.1666666666666665,489365.21467759367,5511025.499162343,18,35,258,2017-04-16,RGI60-02.00147,2651.248,2651.6592,0.19325753,2.6811318,0.92877936,169.09761,616453.0,212820430.0,289174800.0,47.535484,,0.68968135,-0.42564246,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
36,0018_0037,49.751163899999995,-117.1474805,12.0,1.0,489376.05291396286,5510975.000212327,18,37,258,2017-04-16,RGI60-02.00147,2658.4666,2658.398,0.1772671,2.8237295,0.92234683,123.03658,571039.0,202793570.0,274798980.0,51.06976,,0.60192496,-0.51376307,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
37,0018_0038,49.750874466666666,-117.14756799999999,13.333333333333334,1.1666666666666667,489369.6864899127,5510942.833486612,18,38,258,2017-04-16,RGI60-02.00147,2661.2576,2661.369,0.16414067,2.957129,0.96177346,104.56099,548332.0,197439870.0,267180930.0,51.703674,,0.6763374,-0.6251275,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
38,0018_0039,49.7505759,-117.14776133333334,19.666666666666668,2.0,489355.69405397447,5510909.666325756,18,39,258,2017-04-16,RGI60-02.00147,2662.5056,2663.8936,0.14794923,3.147258,1.0003803,82.02438,534035.0,193955330.0,262239740.0,52.361874,,0.7537509,-0.73649186,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
39,0018_0050,49.747649025,-117.14770275000001,46.5,5.0,489359.2739863917,5510584.249011076,18,50,258,2017-04-16,RGI60-02.00147,2702.1653,2703.05,0.13995399,3.2539346,0.0879601,116.0,254823.0,108958030.0,144551360.0,47.02468,,0.8431075,-0.7144766,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
40,0018_0051,49.747539100000004,-117.14750666666667,51.666666666666664,5.333333333333333,489373.37610121287,5510571.999814164,18,51,258,2017-04-16,RGI60-02.00147,2704.8613,2706.9006,0.12203344,3.5327482,6.2628655,87.0,228752.0,99281620.0,131450830.0,43.297,,0.72964793,-0.706853,,-117.137,49.749,1.801,2004,False,2600.133,2230.4207,2795.0933,1740.0,0.0715285295675957,-653.3,0.2823104246029892,-5.862922004498186,1946.540089214738,2343.31171392248,15.243288268728795
