,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
42,0036_0032,-16.302516333333333,-68.108376,14.0,,595254.6560201956,8197393.4168666145,36,32,130,2012-08-07,RGI60-16.00532,5043.1475,5046.009,0.40683505,1.7153351,4.072331,169.30742,512442.0,54747250.0,222257280.0,42.79671,22.879036,2.4670327,-1.6105616,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
43,0036_0033,-16.302636,-68.10825600000001,15.5,,595267.4189870688,8197380.122258395,36,33,130,2012-08-07,RGI60-16.00532,5038.3057,5041.1016,0.38284516,1.7790416,4.1656322,151.43315,518616.0,52995960.0,214901980.0,43.266342,23.563616,3.1460056,-1.4609629,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
44,0037_0021,-16.300427133333333,-68.10818666666667,27.8,,595275.8942772722,8197624.454416008,37,21,130,2012-08-07,RGI60-16.00532,5117.429,5126.59,0.5069528,1.5032094,3.5071406,164.01524,357651.0,77412940.0,320199970.0,26.375328,48.18168,10.814417,-0.45153183,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
45,0037_0022,-16.3005765,-68.1081344,27.7,,595281.4063124639,8197607.905746013,37,22,130,2012-08-07,RGI60-16.00532,5111.1797,5116.8916,0.42572823,1.6692467,3.5480533,178.1909,379260.0,76307070.0,315168130.0,27.498852,52.154293,17.22647,-0.7708289,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
46,0037_0023,-16.30069333333333,-68.10805599999999,26.0,,595289.7261767638,8197594.944001436,37,23,130,2012-08-07,RGI60-16.00532,5106.0654,5109.096,0.36507648,1.8304998,3.6112123,193.61043,396900.0,74946410.0,309104160.0,28.63815,52.011196,15.554172,-0.9187544,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
47,0037_0028,-16.301762666666665,-68.10816566666666,15.333333333333334,,595277.4923778725,8197476.696013514,37,28,130,2012-08-07,RGI60-16.00532,5080.342,5078.5923,0.38760644,1.7658972,3.851955,253.74397,460404.0,66559830.0,272566820.0,37.950245,26.26342,1.4972974,-1.1568265,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
48,0037_0029,-16.3018335,-68.1080885,15.5,,595285.702658978,8197468.823771933,37,29,130,2012-08-07,RGI60-16.00532,5072.0884,5071.9536,0.40699133,1.71494,3.8873706,234.78714,472311.0,64298150.0,262845780.0,40.08003,23.951601,1.3364339,-1.2780657,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
49,0037_0033,-16.302713999999998,-68.10815866666667,14.666666666666666,,595277.7803744684,8197371.447762442,37,33,130,2012-08-07,RGI60-16.00532,5047.226,5048.258,0.3790317,1.7897595,4.1403923,164.01524,509796.0,55475620.0,225323700.0,43.74996,23.073387,2.0794668,-1.487424,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
50,0037_0034,-16.302813,-68.1080585,16.0,,595288.4343144596,8197360.448730955,37,34,130,2012-08-07,RGI60-16.00532,5043.51,5044.146,0.3549294,1.861722,4.2080207,148.49243,515970.0,53757690.0,218097520.0,43.921627,24.188025,2.42845,-1.3521513,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
51,0038_0022,-16.300553857142855,-68.10794271428571,36.857142857142854,,595301.8971779699,8197610.321206659,38,22,130,2012-08-07,RGI60-16.00532,5113.613,5120.84,0.44435692,1.6269,3.5703766,193.61043,370440.0,76830010.0,317528350.0,27.762466,53.328625,25.40285,-0.77725875,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
