Unnamed: 0,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp,RGI
1250,0125_0153,61.53023775,-147.401115375,306.875,35.0,478667.9992225426,6821915.608029908,125,153,250,2012-03-17,RGI60-01.10557,1830.7174,1836.8746,0.14615501,3.1703832,6.152722,600.0,174760000.0,296956070000.0,271692190000.0,239.57558,252.76067,410.6766,395.3197,-0.5433119,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1251,0125_0154,61.52845525,-147.40070162499998,292.125,35.0,478688.7823350709,6821716.916788077,125,154,250,2012-03-17,RGI60-01.10557,1872.0887,1870.9714,0.16033445,2.9990513,0.050656386,600.0,171400000.0,297836400000.0,271146730000.0,219.41844,243.35835,438.5097,436.74304,-0.6391138,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1254,0126_0157,61.523003,-147.39805225,221.125,35.0,478825.9785770411,6821108.717638392,126,157,250,2012-03-17,RGI60-01.10557,1947.3524,1955.06,0.20890595,2.5587597,5.91556,721.1102,160560000.0,298639520000.0,267260800000.0,169.73035,216.09792,423.75403,402.0744,0.08858922,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1255,0126_0158,61.52122566666666,-147.39660966666668,212.33333333333331,35.0,478901.5103383651,6820910.269712942,126,158,250,2012-03-17,RGI60-01.10557,1997.2512,1995.5258,0.20928155,2.5560033,5.568593,848.52814,151000000.0,297633700000.0,261934150000.0,168.13243,219.11833,471.0069,453.71103,-0.1267397,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1256,0126_0159,61.51993675,-147.39517949999998,211.25,35.0,478976.7196170651,6820766.232921755,126,159,250,2012-03-17,RGI60-01.10557,2019.6373,2019.2329,0.19413508,2.6738534,5.2387505,848.52814,146360000.0,296742160000.0,258896000000.0,174.70905,218.89455,499.96756,513.30237,-0.23258229,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1257,0127_0159,61.51901683333333,-147.3938345,217.0,35.0,479047.6531172472,6820663.328852404,127,159,250,2012-03-17,RGI60-01.10557,2065.267,2057.3435,0.19849962,2.6384215,5.2534027,894.4272,139320000.0,294714250000.0,253521740000.0,151.97295,214.76004,486.09082,498.0603,-0.011830809,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1258,0127_0160,61.51797866666666,-147.39203133333334,250.33333333333331,35.0,479142.88688137376,6820547.107452235,127,160,250,2012-03-17,RGI60-01.10557,2067.7737,2070.4976,0.18620853,2.7415757,5.150827,894.4272,136520000.0,293688050000.0,251132400000.0,164.24002,214.77834,514.46576,481.94998,0.13587502,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1259,0128_0160,61.51713925,-147.39047599999998,274.25,35.0,479225.0737974121,6820453.1066745,128,160,250,2012-03-17,RGI60-01.10557,2104.14,2103.265,0.16838896,2.9121373,5.151139,1019.8039,130120000.0,290891960000.0,245143130000.0,164.81761,211.28244,507.98184,425.62042,0.26180956,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1260,0128_0161,61.51616475,-147.38854425,286.875,35.0,479327.2032986197,6820343.941518464,128,161,250,2012-03-17,RGI60-01.10557,2119.757,2117.0884,0.15594117,3.049464,5.189911,1019.8039,127480000.0,289561640000.0,242464440000.0,170.39188,202.9709,534.9459,515.0445,0.26670253,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
1261,0129_0161,61.51522825,-147.38652425,281.25,35.0,479434.0591438501,6820238.984078808,129,161,250,2012-03-17,RGI60-01.10557,2144.302,2145.1865,0.17629416,2.8330696,5.082368,1166.1904,123360000.0,287228760000.0,237986350000.0,160.01825,192.7159,521.21173,420.05728,-0.032410555,-147.587890625,61.676837921,307.521,2009,False,1983.3765,478.86163,3790.3745,39200.0,65.40398677381255,-264.1,0.5787572286847612,-9.673686648447472,1408.3414854451971,2143.894760324717,10.827097483582255,RGI01
